exper	pagua	pjabon	pglicer	tjabon	tagua	nburb1	nburb2	nburb3	nburb4	nburb5	nburb
2	0.6	0.35	0.05	joy	botella	19	25	25	25	25	119
3	0.6	0.25	0.15	joy	botella	13	10	14	12	14	63
20	0.65	0.35	0	joy	botella	9	9	7	6	8	39
32	0.65	0.25	0.1	joy	botella	16	7	12	13	12	60
1	0.75	0.25	0.05	joy	botella	11	13	15	9	16	64
15	0.7	0.15	0.15	joy	botella	7	11	11	13	12	54
41	0.775	0.145	0.08	joy	botella	16	12	10	4	2	44
24	0.8	0.2	0	joy	botella	11	8	13	9	10	51
31	0.81	0.04	0.15	joy	botella	1	2	2	5	2	12
29	0.85	0.12	0.03	joy	botella	17	13	9	14	11	64
23	0.88	0.04	0.08	joy	botella	5	1	2	1	1	10
27	0.95	0.05	0	joy	botella	3	5	6	2	4	20
34	0.6	0.35	0.05	joy	grifo	13	15	13	13	17	71
40	0.6	0.25	0.15	joy	grifo	15	15	15	13	10	68
7	0.65	0.35	0	joy	grifo	9	14	11	14	5	53
17	0.65	0.25	0.1	joy	grifo	16	15	10	14	5	60
6	0.75	0.25	0.05	joy	grifo	16	15	18	17	11	77
35	0.7	0.15	0.15	joy	grifo	14	7	6	10	9	46
36	0.775	0.145	0.08	joy	grifo	7	11	11	13	14	56
48	0.8	0.2	0	joy	grifo	14	12	16	12	14	68
8	0.81	0.04	0.15	joy	grifo	4	4	4	4	4	20
18	0.85	0.12	0.03	joy	grifo	4	6	10	11	9	40
4	0.88	0.04	0.08	joy	grifo	1	9	2	6	5	23
37	0.95	0.05	0	joy	grifo	2	3	2	4	3	14
43	0.6	0.35	0.05	ivory	botella	8	2	4	3	4	21
44	0.6	0.25	0.15	ivory	botella	6	2	1	3	1	13
10	0.65	0.35	0	ivory	botella	3	2	2	3	2	12
26	0.65	0.25	0.1	ivory	botella	3	6	8	6	6	29
5	0.75	0.25	0.05	ivory	botella	1	4	4	10	1	20
42	0.7	0.15	0.15	ivory	botella	3	2	4	6	1	16
47	0.775	0.145	0.08	ivory	botella	2	7	8	3	2	22
38	0.8	0.2	0	ivory	botella	1	6	5	3	4	19
33	0.81	0.04	0.15	ivory	botella	4	5	1	1	4	15
13	0.85	0.12	0.03	ivory	botella	3	3	0	1	1	8
19	0.88	0.04	0.08	ivory	botella	0	1	0	1	1	3
25	0.95	0.05	0	ivory	botella	1	2	3	6	3	15
11	0.6	0.35	0.05	ivory	grifo	5	3	5	2	3	18
46	0.6	0.25	0.15	ivory	grifo	5	4	3	0	5	17
39	0.65	0.35	0	ivory	grifo	0	1	1	2	1	5
45	0.65	0.25	0.1	ivory	grifo	2	5	2	1	3	13
12	0.75	0.25	0.05	ivory	grifo	3	7	2	5	5	22
22	0.7	0.15	0.15	ivory	grifo	1	2	2	6	6	17
14	0.775	0.145	0.08	ivory	grifo	8	4	1	1	1	15
30	0.8	0.2	0	ivory	grifo	3	4	1	3	0	11
21	0.81	0.04	0.15	ivory	grifo	2	5	6	5	3	21
16	0.85	0.12	0.03	ivory	grifo	2	4	4	3	4	17
9	0.88	0.04	0.08	ivory	grifo	0	1	0	0	3	3
28	0.95	0.05	0	ivory	grifo	4	2	5	3	1	15
